age_int,attention,n,sd,age,snapshot
28,41.046875,192,16.65111321609094,28.65000000000009,2025
29,41.4804469273743,179,16.971006598539557,29.650000000000095,2025
30,42.50243902439024,205,15.312952479187093,30.650000000000087,2025
31,42.74654377880184,217,16.354161876550474,31.650000000000087,2025
32,43.049549549549546,222,16.516337031450036,32.65000000000009,2025
33,38.6198347107438,242,16.246164538537393,33.65000000000009,2025
34,35.142857142857146,273,17.55699003700987,34.65000000000009,2025
35,37.233333333333334,270,16.77960126425419,35.65000000000009,2025
36,37.055350553505534,271,17.09517689634704,36.65000000000009,2025
37,38.69230769230769,260,15.934153190466004,37.65000000000009,2025
38,38.81297709923664,262,16.577443461401057,38.65000000000009,2025
39,38.601593625498005,251,16.77690786319694,39.65000000000009,2025
40,36.8062015503876,258,17.628936911908337,40.65000000000009,2025
41,36.34274193548387,248,16.335533774762684,41.65000000000009,2025
42,35.32119205298013,302,16.78967452535373,42.65000000000009,2025
43,34.07194244604317,278,16.338539536678955,43.65000000000009,2025
44,33.12587412587413,286,18.317805404776482,44.65000000000009,2025
45,32.56944444444444,288,16.969598878625046,45.65000000000009,2025
46,33.04416403785489,317,18.386616426590734,46.65000000000009,2025
47,31.578544061302683,261,18.274155757279743,47.65000000000009,2025
48,31.30496453900709,282,17.945922429601435,48.65000000000009,2025
49,28.63905325443787,338,17.8563310715948,49.65000000000009,2025
50,27.502906976744185,344,16.8062182276884,50.65000000000009,2025
51,27.6,345,16.345186333568353,51.6500000000001,2025
52,28.46470588235294,340,15.78287190710086,52.650000000000084,2025
53,25.594972067039105,358,16.72150119158139,53.65000000000009,2025
54,24.262886597938145,388,16.26104757178361,54.650000000000084,2025
55,21.95273631840796,402,15.789300173699468,55.65000000000009,2025
56,21.94360086767896,461,15.022630292948298,56.65000000000009,2025
57,21.770526315789475,475,15.7691673850513,57.65000000000009,2025
58,20.790076335877863,524,15.614188551576445,58.65000000000009,2025
59,19.89514563106796,515,14.804979829473725,59.65000000000009,2025
60,19.870833333333334,480,15.17634625771856,60.65000000000009,2025
61,17.958071278825997,477,14.685295439812315,61.65000000000009,2025
62,16.826359832635983,478,13.971113345222342,62.65000000000009,2025
63,15.77979797979798,495,14.100205153975828,63.65000000000009,2025
64,16.48689138576779,534,15.087947816229152,64.65000000000009,2025
65,15.30751708428246,439,15.43756649689869,65.65000000000009,2025
66,14.460591133004925,406,14.25403295394563,66.65000000000009,2025
67,13.681632653061225,245,13.98757753123721,67.65000000000009,2025
