evidence_layer,snapshot,song_age,delta_excess,decay_equivalent_years,inversion_status
Temporal event,July 2017,12,2.4512295719264454,2.1513936049244897,valid
Temporal event,July 2017,13,2.4512295719264454,2.2067927640905207,valid
Temporal event,July 2017,14,2.4512295719264454,2.2607471744056777,valid
Temporal event,July 2017,15,2.4512295719264454,2.314520402353395,valid
Temporal event,July 2017,16,2.4512295719264454,2.3687829622340004,valid
Temporal event,July 2017,17,2.4512295719264454,2.423893841298348,valid
Temporal event,July 2017,18,2.4512295719264454,2.48005052087772,valid
Temporal event,July 2017,19,2.4512295719264454,2.537367370332074,valid
Temporal event,July 2017,20,2.4512295719264454,2.595916222748052,valid
Temporal event,July 2017,21,2.4512295719264454,2.6557472817612506,valid
Temporal event,July 2017,22,2.4512295719264454,2.7168998730319096,valid
Temporal event,July 2017,23,2.4512295719264454,2.77940797017866,valid
Temporal event,July 2017,24,2.4512295719264454,2.84330303573034,valid
Temporal event,July 2017,25,2.4512295719264454,2.908615483078549,valid
Temporal event,July 2017,26,2.4512295719264454,2.9753754301004527,valid
Temporal event,July 2017,27,2.4512295719264454,3.043613088782493,valid
Temporal event,July 2017,28,2.4512295719264454,3.1133589676562536,valid
Temporal event,July 2017,29,2.4512295719264454,3.184643977869115,valid
Temporal event,July 2017,30,2.4512295719264454,3.25749948956258,valid
Temporal event,July 2017,31,2.4512295719264454,3.3319573625539682,valid
Temporal event,July 2017,32,2.4512295719264454,3.408049963661263,valid
Temporal event,July 2017,33,2.4512295719264454,3.485810177018749,valid
Temporal event,July 2017,34,2.4512295719264454,3.565271410646595,valid
Temporal event,July 2017,35,2.4512295719264454,3.6464676009497836,valid
Temporal event,July 2017,36,2.4512295719264454,3.729433216003578,valid
Temporal event,July 2017,37,2.4512295719264454,3.814203258060239,valid
Temporal event,July 2017,38,2.4512295719264454,3.900813265494719,valid
Temporal event,July 2017,39,2.4512295719264454,3.9892993142932625,valid
Temporal event,July 2017,40,2.4512295719264454,4.079698019131563,valid
Temporal event,July 2017,41,2.4512295719264454,4.172046534057948,valid
Temporal event,July 2017,42,2.4512295719264454,4.266382552781899,valid
Temporal event,July 2017,43,2.4512295719264454,4.36274430855952,valid
Temporal event,July 2017,44,2.4512295719264454,4.461170573663232,valid
Temporal event,July 2017,45,2.4512295719264454,4.561700658420705,valid
Temporal event,July 2017,46,2.4512295719264454,4.664374409806534,valid
Temporal event,July 2017,47,2.4512295719264454,4.769232209569537,valid
Temporal event,July 2017,48,2.4512295719264454,4.876314971877996,valid
Temporal event,July 2017,49,2.4512295719264454,4.985664140465069,valid
Temporal event,July 2017,50,2.4512295719264454,5.0973216852550465,valid
Temporal event,July 2017,51,2.4512295719264454,5.211330098458667,valid
Temporal event,July 2017,52,2.4512295719264454,5.327732390103741,valid
Temporal event,July 2017,53,2.4512295719264454,5.446572083003204,valid
Temporal event,July 2017,54,2.4512295719264454,5.567893207128428,valid
Temporal event,July 2017,55,2.4512295719264454,5.691740293373201,valid
Temporal event,July 2017,56,2.4512295719264454,5.81815836669211,valid
Temporal event,July 2017,57,2.4512295719264454,5.9471929385944335,valid
Temporal event,July 2017,58,2.4512295719264454,6.078889998976479,valid
Temporal event,August 2022,1,2.4512295719264454,,above_young_maximum
Temporal event,August 2022,2,2.4512295719264454,,above_young_maximum
Temporal event,August 2022,3,2.4512295719264454,2.667751662084314,valid
Temporal event,August 2022,4,2.4512295719264454,2.6467590579438394,valid
Temporal event,August 2022,5,2.4512295719264454,2.6300853859349327,valid
Temporal event,August 2022,6,2.4512295719264454,2.6173175880164257,valid
Temporal event,August 2022,7,2.4512295719264454,2.6081071655074703,valid
Temporal event,August 2022,8,2.4512295719264454,2.6021583853832304,valid
Temporal event,August 2022,9,2.4512295719264454,2.5992190313495946,valid
Temporal event,August 2022,10,2.4512295719264454,2.5990730746237105,valid
Temporal event,August 2022,11,2.4512295719264454,2.6015348103797606,valid
Temporal event,August 2022,12,2.4512295719264454,2.6064441259012057,valid
Temporal event,August 2022,13,2.4512295719264454,2.6136626513620893,valid
Temporal event,August 2022,14,2.4512295719264454,2.623070605474128,valid
Temporal event,August 2022,15,2.4512295719264454,2.6345641929993064,valid
Temporal event,August 2022,16,2.4512295719264454,2.648053443968454,valid
Temporal event,August 2022,17,2.4512295719264454,2.663460409194764,valid
Temporal event,August 2022,18,2.4512295719264454,2.6807176450914465,valid
Temporal event,August 2022,19,2.4512295719264454,2.699766934927368,valid
Temporal event,August 2022,20,2.4512295719264454,2.720558204693024,valid
Temporal event,August 2022,21,2.4512295719264454,2.743048599636687,valid
Temporal event,August 2022,22,2.4512295719264454,2.767201694671499,valid
Temporal event,August 2022,23,2.4512295719264454,2.792986816535649,valid
Temporal event,August 2022,24,2.4512295719264454,2.8203784597658768,valid
Temporal event,August 2022,25,2.4512295719264454,2.8493557819002433,valid
Temporal event,August 2022,26,2.4512295719264454,2.8799021657160253,valid
Temporal event,August 2022,27,2.4512295719264454,2.9120048385421917,valid
Temporal event,August 2022,28,2.4512295719264454,2.9456545402744254,valid
Temporal event,August 2022,29,2.4512295719264454,2.980845233100876,valid
Temporal event,August 2022,30,2.4512295719264454,3.0175738472009606,valid
Temporal event,August 2022,31,2.4512295719264454,3.0558400573311424,valid
Temporal event,August 2022,32,2.4512295719264454,3.0956460862595954,valid
Temporal event,August 2022,33,2.4512295719264454,3.136996531461673,valid
Temporal event,August 2022,34,2.4512295719264454,3.179898212027936,valid
Temporal event,August 2022,35,2.4512295719264454,3.2243600333183053,valid
Temporal event,August 2022,36,2.4512295719264454,3.2703928669807993,valid
Temporal event,August 2022,37,2.4512295719264454,3.3180094445875454,valid
Temporal event,August 2022,38,2.4512295719264454,3.3672242631878717,valid
Temporal event,August 2022,39,2.4512295719264454,3.418053501314567,valid
Temporal event,August 2022,40,2.4512295719264454,3.470514944259122,valid
Temporal event,August 2022,41,2.4512295719264454,3.5246279175175275,valid
Temporal event,August 2022,42,2.4512295719264454,3.5804132274839446,valid
Temporal event,August 2022,43,2.4512295719264454,3.637893108511669,valid
Temporal event,August 2022,44,2.4512295719264454,3.6970911757091685,valid
Temporal event,August 2022,45,2.4512295719264454,3.758032382711008,valid
Temporal event,August 2022,46,2.4512295719264454,3.820742983978768,valid
Temporal event,August 2022,47,2.4512295719264454,3.8852505010373477,valid
Temporal event,August 2022,48,2.4512295719264454,3.9515836922376835,valid
Temporal event,August 2022,49,2.4512295719264454,4.019772525635808,valid
Temporal event,August 2022,50,2.4512295719264454,4.089848154690479,valid
Temporal event,August 2022,51,2.4512295719264454,4.161842896309061,valid
Temporal event,August 2022,52,2.4512295719264454,4.235790211129171,valid
Temporal event,August 2022,53,2.4512295719264454,4.3117246856534095,valid
Temporal event,August 2022,54,2.4512295719264454,4.389682016035266,valid
Temporal event,August 2022,55,2.4512295719264454,4.469698993321657,valid
Temporal event,August 2022,56,2.4512295719264454,4.5518134898911455,valid
Temporal event,August 2022,57,2.4512295719264454,4.636064446995988,valid
Temporal event,August 2022,58,2.4512295719264454,4.722491863164301,valid
Temporal event,August 2025,1,2.4512295719264454,,above_young_maximum
Temporal event,August 2025,2,2.4512295719264454,,above_young_maximum
Temporal event,August 2025,3,2.4512295719264454,2.8435504465817085,valid
Temporal event,August 2025,4,2.4512295719264454,2.780359580507314,valid
Temporal event,August 2025,5,2.4512295719264454,2.727374650252731,valid
Temporal event,August 2025,6,2.4512295719264454,2.683048267090728,valid
Temporal event,August 2025,7,2.4512295719264454,2.6461625533450963,valid
Temporal event,August 2025,8,2.4512295719264454,2.615744901548304,valid
Temporal event,August 2025,9,2.4512295719264454,2.5910088109562803,valid
Temporal event,August 2025,10,2.4512295719264454,2.571311379409668,valid
Temporal event,August 2025,11,2.4512295719264454,2.5561221511570658,valid
Temporal event,August 2025,12,2.4512295719264454,2.544999885903094,valid
Temporal event,August 2025,13,2.4512295719264454,2.537574965789366,valid
Temporal event,August 2025,14,2.4512295719264454,2.533535887247817,valid
Temporal event,August 2025,15,2.4512295719264454,2.532618760317151,valid
